,defence secretary,chairman chief of defence staff,security advisor,chief army staff,chief naval staff,chief air staff,integrated defence staff,general medical service,serving admirals
35,r. k. mathur,"admiral vijai singh shekhawat pvsm, avsm, vrc ",,,,,,"lieutenant general naresh kumar parmar pvsm, avsm, vrc, vsm",sai venkat raman
36,g. mohan kumar,general shankar roychowdhury pvsm ,,,,,,"lieutenant general h. l. kakria pvsm, avsm, vsm",k. p. arvindan
37,sanjay mitra,"air chief marshal satish sareen pvsm, avsm, vm ",,,,,,air marshal d. p. joshi,sanjay sadhu
38,ajay kumar,"general ved prakash malik pvsm, avsm ",,,,,,lieutenant general b. k. chopra avsm,subir mukherjee
39,,"admiral sushil kumar pvsm, uysm, avsm, nm",,,,,,"lieutenant general manoj kumar unni avsm, vsm",d. k. goswami
40,,"general sundararajan padmanabhan pvsm, avsm, vsm ",,,,,,lieutenant general bipin puri vsm,mahesh singh
41,,"admiral madhvendra singh pvsm, avsm",,,,,,lieutenant general anup banerji sm,a. y. sardesai
42,,"air chief marshal srinivasapuram krishnaswamy pvsm, avsm, vm & bar ",,,,,,"surgeon vice-admiral rajat datta avsm, sm, vsm",rahul vilas gokhale
43,,"general nirmal chander vij pvsm, uysm, avsm ",,,,,,,t. v. n. prasanna
44,,"admiral arun prakash pvsm, avsm, vrc, vsm ",,,,,,,kapil mohan dhir
45,,"air chief marshal shashindra pal tyagi pvsm, avsm, vm ",,,,,,,arti sarin
46,,"general joginder jaswant singh pvsm, avsm, vsm ",,,,,,,c. s. naidu
47,,"admiral sureesh mehta pvsm, avsm ",,,,,,,anupam kapur
48,,"general deepak kapoor pvsm, avsm, sm, vsm ",,,,,,,dinesh sharma
49,,"air chief marshal pradeep vasant naik pvsm, vsm ",,,,,,,
50,,"admiral nirmal kumar verma pvsm, avsm ",,,,,,,
51,,"air chief marshal norman anil kumar browne pvsm, avsm, vm ",,,,,,,
52,,"general bikram singh pvsm, uysm, avsm, sm, vsm ",,,,,,,
53,,"air chief marshal arup raha pvsm, avsm, vm ",,,,,,,
54,,"admiral sunil lanba pvsm, avsm ",,,,,,,
55,,"air chief marshal birender singh dhanoa pvsm, avsm, ysm, vm ",,,,,,,
56,,"general bipin rawat pvsm, uysm, avsm, ysm, sm, vsm ",,,,,,,
57,,vacant 8–15 december 2021,,,,,,,
58,,"general manoj mukund naravane pvsm, avsm, sm, vsm, adc  acting",,,,,,,
59,,vacant 30 april 2022 – present,,,,,,,
