,president,vice-president,prime-minister,governors,deputy prime minister,chief minister,chief justice,speaker,bharat ratna,sc_judges,businessmen,election commissioners,attorney generals,defence minister,education ministers,external affairs ministers,finance minister,home ministers,law & justice minister,railway minister,road and highways ministers,lok sabha members
25,,,,anandiben patel,,jai ram thakur,aziz mushabber ahmadi,,morarji desai[e],bela trivedi,kapil & rahul bhatia,,,sharad pawar,murli manohar joshi,p. v. narasimha rao,shankarrao chavan,shankarrao chavan,ramakant khalap  ,janeshwar mishra,rajesh pilot ,n. reddeppa
26,,,,gurmit singh,,pushkar singh dhami,j. s. verma,,abul kalam azad[viii][f]#,p. s. narasimha,,,,p. v. narasimha rao,arjun singh,dinesh singh,madhu dandavate,murli manohar joshi,ramakant khalap  ,c. k. jaffer sharief,k. p. unnikrishnan,kiren rijiju
27,,,,la. ganesan (additional charge),,eknath shinde,madan mohan punchhi,,j. r. d. tata,sudhanshu dhulia,,,,pramod mahajan,kapil sibal,pranab mukherjee,yashwant sinha,h. d. deve gowda,m. thambidurai,ram vilas paswan,manubhai kotadia,tapir gao
28,,,,,,manik saha,adarsh sein anand,,satyajit ray,jamshed burjor pardiwala,,,,mulayam singh yadav,m. m. pallam raju,sikander bakht,manmohan singh,indrajit gupta,p r kumaramangalam,nitish kumar,chandra shekhar,kripanath mallah
29,,,,,,manohar lal khattar,sam piroj bharucha,,gulzarilal nanda,,,,,george fernandes,smriti irani,i. k. gujral,jaswant singh,l. k. advani,ram jethmalani,ram naik,jagdish tytler ,rajdeep roy
30,,,,,,ashok gehlot,bhupinder nath kirpal,,aruna asaf ali[ix]#,,,,,jaswant singh,prakash javadekar,atal bihari vajpayee,p. chidambaram,shivraj patil,arun jaitley  ,mamata banerjee,m. rajasekara murthy ,horen sing bey
31,,,,,,,gopal ballav pattanaik,,a. p. j. abdul kalam,,,,,george fernandes,ramesh pokhriyal [1],jaswant singh,i. k. gujral,p. chidambaram,jana krishnamurthy,nitish kumar,atal bihari vajpayee,badruddin ajmal
32,,,,,,,v. n. khare,,m. s. subbulakshmi,,,,,pranab mukherjee,dharmendra pradhan,yashwant sinha,p. chidambaram,sushilkumar shinde,arun jaitley,lalu prasad yadav,t. g. venkatraman,naba kumar sarania
33,,,,,,,s. rajendra babu,,c. subramaniam,,,,,a. k. antony,,natwar singh,yashwant sinha,rajnath singh,h. r. bhardwaj,mamata banerjee,r. muthiah,abdul khaleque
34,,,,,,,ramesh chandra lahoti,,jayaprakash narayan[x]#,,,,,arun jaitley,,manmohan singh,jaswant singh,amit shah,veerappa moily,dinesh trivedi,m. thambidurai,queen oja
35,,,,,,,yogesh kumar sabharwal,,amartya sen,,,,,manohar parrikar,,pranab mukherjee,p. chidambaram,,salman khurshid,mukul roy,nitish kumar,dilip saikia
36,,,,,,,k. g. balakrishnan,,gopinath bordoloi[xi]#,,,,,arun jaitley,,s. m. krishna,manmohan singh,,ashwani kumar,c. p. joshi,jaswant singh,pallab lochan das
37,,,,,,,s. h. kapadia,,ravi shankar,,,,,nirmala sitharaman,,salman khurshid,pranab mukherjee,,kapil sibal,pawan kumar bansal,nitish kumar,pradyut bordoloi
38,,,,,,,altamas kabir,,lata mangeshkar,,,,,rajnath singh,,sushma swaraj,manmohan singh,,ravi shankar prasad,c. p. joshi,rajnath singh,gaurav gogoi
39,,,,,,,p. sathasivam,,bismillah khan,,,,,,,subrahmanyam jaishankar,p. chidambaram,,d. v. sadananda gowda,mallikarjun kharge,atal bihari vajpayee,topon kumar gogoi
